name, birth_loc, pocc, marriage, lastname
Jordan Michael,,,,Michael
Samson John,,,,John
Smith Stephen ,Ireland,,,Stephen
Dempster John Hamilton ,,,,John
Braithwaite George Mott , St Pancras London,,m 3 May 1827 St Luke's= Chelsea= Louisa Strutt Edmund b 20 Feb 1828 Albert George b 1 May 1830 Constantine John b 24 Dec 1831,George
Shaw Francis , St Andrew's Holbora London,,,Francis
Wright John,,,,John
Trimmer Samuel , Halstead Essex,,,Samuel
Bellson James,,,,James
Burt Charles ,,,,Charles
Armstrong Walter , England,,,Walter
Keene William,,,,William
Wozencraft James ,,,,James
Wood Charles Boynton,,,,Charles
Orlebar Frederick , England,,,Frederick
Thomas Michael ,Whales,,,Michael
Hepburn George,,,,George
Evans Daniel,,,,Daniel
Lenham John,,,,John
Tarrett Thomas Drake,,,,Thomas
Ward Thomas Erasmus , All Saints' Evesham Worcs,,,Thomas
Prince William,,,,William
Hanset Joshua Branor,,,,Joshua
Painter David,,,,David
Warner Richard ,,,,Richard
Underwood John ,,,,John
Hammond William Dyke,,,,William
Thomas William Allsop,,,,William
Davy Saville,,,,Saville
Hodges Moses,,,,Moses
Anthony George,,,,George
Minors Isaac,,,,Isaac
Pascoe William,,,,William
Home Roddam,,,,Roddam
Newell Thomas,,,,Thomas
Scott William Grub,,,,William
Mountford Thomas Newte,,,,Thomas
Lamb Charles ,,,,Charles
Carr Alexander ,,,,Alexander
Bennett James E,,,,James
Lloyd Charles Herbert,,,,Charles
Woodrow William,,,,William
Hornhead Nathaniel,,,,Nathaniel
Pilford Charles , Horsham Sussex,,,Charles
Robertson John,,,,John
Kemp Robert,,,,Robert
Gordon Robert,,,,Robert
Rendell Henry,,,,Henry
Ottey Charles , Lichfield Staffs,,,Charles
Hule Thomas Manley ,England,,,Thomas
Robertson Divie , Scotland,,,Divie
Giles Benjamin,,,,Benjamin
Butt Edward,,,,Edward
Foulerton John , Prescot St Goodman's Fields London,,,John
Dick Matthew,,,,Matthew
Reid Alexander,,,,Alexander
Hulman Nicholas,,,,Nicholas
Watkins James,,,,James
Miles Robert,,,,Robert
Pitcairn Charles ,,,,Charles
D'Auvergne Philip,,,,Philip
Brangwin Nathaniel,,,,Nathaniel
Bradshaw John,,,,John
Mitchell Alexander,,,,Alexander
Nasmyth James George,,,,James
Seaman Francis,,,,Francis
Dyer John,,,,John
Adams Edward Lambert ,Mezignac nr Bordeaux,,,Edward
Fairweather Robert,,,,Robert
Cowling John , St Leonard's Shoreditch London,,,John
Southward Peter,,,,Peter
Dallas William , St Cuthbert's Edinburgh,,m 28 Aug 1827 St Martin_in_the_Fields= London= Louisa Barnes William bap 24 Mar 1830 Barnes bap 27 Oct 1832,William
Luke John , St Stephen's Exeter,,,John
Bowey Fletcher,,,,Fletcher
Cowley Robert,,,,Robert
Lawson Leonard,,,,Leonard
Kay William ,,,,William
Wellbank Thomas sen,,,,Thomas
Gamlin Charles Arthur , Tiverton Devon,,,Charles
Watkins Samuel,,,,Samuel
Hayward James C,,,,James
Consett John,,,,John
Johnson John,,,,John
Garrett John ,England,,,John
Peters Michael,,,,Michael
Etty Walter,,,,Walter
Jackson Nicholas,,,,Nicholas
Perkins Charles,,,,Charles
Bell Charles , Yarmouth,wine merchant,,Charles
Perrott Robert ,,,,Robert
Passmore Lyle,,,,Lyle
Ballard William,,,,William
Richie William,,,,William
Hutchinson William ,,,,William
Gates Benedict,,,,Benedict
Dinsdale John , St John's Hackney Middx,,,John
Harwood Thomas,,,,Thomas
Curtis John,,,,John
Wozencraft Thomas ,,,,Thomas
Wilson Lestock ,England,,,Lestock
Mathew Henry , St Mary's Bury St Edmunds,,,Henry
Bennett Roger,,,,Roger
Harrison John [James?] King,,,,John
Despagnol Daniel ,,,,Daniel
Munden Thomas , St Luke's Chelsea Middx,,,Thomas
Stout William,,,,William
Palmer Frederick,,,m 23 Jan 1819 St Luke's= Chelsea= London= Mary Eliza Wood Frederick Wood b 15 Oct 1819 & bap 15 Nov 1820 William Henry b 9 Jul & bap 1 Aug 1821 Charles Huxley b 4 Jun & bap 27 Jun 1823 Alexander Stenson b 10 Jan & bap 23 Jan 1825 Mary Ann Champion b 6 Mar & bap 30 Mar 1827 Eliza Jones b 12 Apr & bap 8 May 1829 Thomas McLeod b 21 Jun & bap 10 Jul 1831 [all bap at St Luke's= Chelsea],Frederick
Searles Norman,,,,Norman
Schack Thomas,,,,Thomas
Stewart Cosmos Henry ,,,,Cosmos
Riach James Pringle,,,,James
Wynn John sen ,,,,John
Stephens James ,,,,James
Elliot Peter,,,,Peter
Murphy Joseph,,,,Joseph
White Daniel,,,,Daniel
Mallett John,,,,John
Hammond John,,,,John
Tweedale James , Montrose,,,James
Gordon Charles,,,,Charles
Millard John , St John's Hampstead Middx,,,John
Gosfright John,,,,John
Carling J,,,,J
Gledstanes John H,,,,John
Ramsay Malcolm,,,,Malcolm
Tredor John,,,,John
Angus George ,,,,George
Birdworth William,,,,William
Brett Rose F,,,,Rose
Pitt Edward,,,,Edward
Newton Giles ,England,,,Giles
Durand John,,,,John
Ager Henry , Bowbrickhill Bucks,,,Henry
Richardson Isaac Godsalve,,,,Isaac
Trill George Haines,,,,George
Bonnell John,,,,John
Parsons Edward,,,,Edward
Walker James,,,,James
Davidson John ,,,,John
Foster Charles V,,,,Charles
Denny Henry , England,,,Henry
Pamplin Henry ,England,,,Henry
Knowles William,,,,William
Martin Edward ,,,,Edward
Farrell Thomas,,,,Thomas
Badenach James ,,,,James
Davis Samuel,,,,Samuel
Tolme David ,England,,,David
Burrell Richard,,,,Richard
Montague Ephraim,,,,Ephraim
Mansion Benjamin,,,,Benjamin
Hackman James Francis Perkins , Charmouth Dorset,,,James
Gilchrist George,,,,George
Rutherford James,,,,James
Elstone H G,,,,H
Pack Edward,,,,Edward
Mair Philip ,,,,Philip
De Butts George William , Guernsey,,,Butts
Walcot John,,,,John
Terrell _?_,,,,_?_
Strachan William,,,,William
Cheere John,,,,John
Telles Thomas,,,,Thomas
Baddiley William,,,,William
Dolphin George ,,,,George
Mitchell Thomas John William , St John's Wapping Middx,mariner,,Thomas
Wilks Israel,,,,Israel
Moyle John Matthew , Helston Cornwall,surgeon,,John
Appleby John ,,,,John
Jeffery Robert , Maidstone,,,Robert
McCallum B,,,,B
Clyde Charles Greig , England,,,Charles
Browne Arnold,,,,Arnold
Kelsall John,,,,John
Bumpstead Benjamin,,,,Benjamin
Hawkey William Astell (181 1_),at sea on ASTELL ,,,William
Bland Francis,,,,Francis
Hawkins Charles , England,,,Charles
Rann Thomas Burton ,England,,,Thomas
Hufflett John , pa St Martin_in_the_Fields London,,,John
Way Benjamin ,,,,Benjamin
Slocock Samuel ,,,,Samuel
Jollins Richard,,,,Richard
Drysdale Robert Fell,,,,Robert
Cason Francis,,,,Francis
Burton Richard ,,,,Richard
Gough Charles , 11th,Sir= MP of Perry Hall staff,,Charles
Oswell Hugh,,,,Hugh
Falconar David ,,,,David
Dickey Henry Stewart,,,,Henry
Broadley Robert,,,,Robert
Miller Adam,,,,Adam
Ambrose Thomas , Hendon Middx,,m 5 Mar 1795 Bethnal Green= Middx= Mary Towne,Thomas
Pierce William,,,,William
Loveridge Charles Warre , Forton Chard Somerset Chard,,,Charles
Alderhouse Robert,,,,Robert
Lanzan John,,,,John
Cork John ,,,,John
Price Charles,,,,Charles
Foster William,,,,William
Howes Christopher ,,,,Christopher
Treherne Robert Hughes , Wales,,,Robert
Nicholls John ,,,,John
Tye John,,,,John
Braid William,,,,William
Frazer David,,,,David
Martin Samuel,,,,Samuel
Carter Roger,,,,Roger
Wyse James,,,,James
Price William ,,,,William
Braffett Jacob,,,,Jacob
Ferdinando George,,,,George
Lynde John ,,,,John
Wislack Peter,,,,Peter
Palmer E H,,,,E
Wild Matthew ,,,,Matthew
MacLeod Daniel,,,,Daniel
Bower John,,,,John
McNeal Daniel,,,,Daniel
Shelverton John ,England,,,John
Bogan Christopher,,,,Christopher
Craton Thomas,,,,Thomas
Fowler Frederick,,,,Frederick
Johnston Henry [Kennedy],,,,Henry
Tardy Elias,,,,Elias
Campbell George C,,,,George
Dover William , Brettenham Norfolk,,,William
Gardiner Archibald,,,,Archibald
Bois John,,,,John
Barber Stephen,,,,Stephen
Bolam Martin,,,,Martin
Welch Joseph , St Mary Magdalene Taunton,surgeon,,Joseph
Bird William,,,,William
Cartwright Rev John,,,,Rev
Fearne Richard Lewis,,,,Richard
Baynes Robert,,,,Robert
Bell Clement,,,,Clement
Mendham Samuel , Camberwell Surrey,,,Samuel
Cranstoun John ,Scotland,,,John
Baldwin Isaac ,England,,,Isaac
Pye Handle ,,,,Handle
Williams Samuel,,,,Samuel
Le Geyt Carteret,,,,Geyt
Poole Edmund,,,,Edmund
Rankine Robert , Dundee,esq,,Robert
Carlisle William,,,,William
Muhar William,,,,William
Cundell James,,,,James
Porter John,,,,John
Bedford Frederick , Llandilo Carmarthen,,,Frederick
Mumford John ,,,,John
Slanning Gamaliel ,England,,,Gamaliel
Redman Gabriel Jemmett,,,,Gabriel
Spanwell William,,,,William
Roberts Charles,,,,Charles
Purcell William ,,,,William
Duck John,,,,John
Lay Mark Josselyn , Tolleshunt Darcy Essex,farmer,,Mark
Thorne William,,,,William
Fotheringham Alexander,,,,Alexander
Pratt Edmund,,,,Edmund
Duany George,,,,George
Purvis William ,Scotland,,,William
Merry Joseph,,,,Joseph
Maw Robert,,,,Robert
Strachan John ,,,,John
Hall Jacob,,,,Jacob
Munro Richard,,,,Richard
Guthrie John, Dundee,,,John
Burnand Samuel,,,,Samuel
Jordan Joseph ,,,,Joseph
Munro Robert John , Edinburgh,,,Robert
Paton James,,,,James
Graham John William,,,,John
Hay Alexander,,,,Alexander
Short John,,,,John
Garrett Nicholas,,,,Nicholas
Handy Charles Pickett,,,,Charles
Mather John Newton , Prescot Lanes,,,John
Richards George,,,,George
Lyon John ,,,,John
Bridge Thomas,,,,Thomas
Bartee Peregrine,,,,Peregrine
Cullen William,,,,William
Down John Godbold , St James' Place London Malta,,,John
Angus James,,,,James
Paterson Alexander,,,,Alexander
Smith Christopher,,,,Christopher
Chitty David,,,,David
Preston Edward,,,,Edward
Jodrell Thomas,,,,Thomas
Strutton Richard,,,,Richard
Home John ,,,,John
Burns John,,,,John
Rochett William,,,,William
Hope William , Musselburgh Midlothian,,,William
Bowden Lawrence,,,,Lawrence
Ardlie John Martin,England,,,John
Chichester Charles,,,,Charles
Wemyss John,,,,John
Eckley Leslie,,,,Leslie
Tomlins Thomas ,,,,Thomas
Yates John,,,,John
Ford Rufus,,,,Rufus
Davies Thomas,,,,Thomas
Thoson Thomas,,,,Thomas
Brown Andrew , Atumvir East Lothian,,,Andrew
Cleland Walter , Dunfermline Fife,,,Walter
Ticehurst William , Battle Sussex,,m 30 Jul 1825 Chelmsford= Essex= Sarah Darby= Sarah Ann b 16 May 1826 Augusta bap 30 Mar 1828 William Duke Tiddb 25 Dec 1829 Lewis Frederick bap 25 Jul 1834,William
Russell Robert ,,,,Robert
Blair Thomas,,,,Thomas
Dyson Edward,,,,Edward
Frankin Thomas,,,,Thomas
Fisher Robert,,,,Robert
Wilson David,,,,David
Matthias or Mathias Thomas Tasker , Steynton Pembrokeshire,,,or
Willmot John , St Botolph Aldgate London,,,John
Waters David,,,,David
Leckie William,,,,William
Haldane James Alexander , Dundee,Capt EIC,,James
Jones William ,England,,,William
Gage Landen , Barham Kent,,,Landen
Henderson H N,,,,H
Nash Samuel,,,,Samuel
Lucy Andrew,,,,Andrew
Blair Eglinton,,,,Eglinton
Hunt Thomas,,,,Thomas
East John,,,,John
Rogers Thomas,,,,Thomas
Blanshard John , St Mary's Newington Surrey,,,John
Tildesley Guy,,,,Guy
Blake Richard ,,,,Richard
Sayce George ,England,,,George
Wynnett Charles,,,,Charles
Leeson Thomas,,,,Thomas
Evers William,,,,William
Parr George,,,,George
Knight John Amyas,,,,John
Coombe Richard,,,,Richard
Evans Charles , Wimborne Dorset,,m 30 Aug 1834 St George's= Hanover Sq= London= Catherine Ferguson= of Blandford= Dorset,Charles
Scafe Edward ,,,,Edward
Seale David ,,,,David
Rouchead Thomas ,,,,Thomas
Edmeades Robert,,,,Robert
Boddy John ,,,m 23 Dec 1806 St James Clerkenwell= London= Frances Perkins,John
Colt John,,,,John
Whittle Price Warren ,,,,Price
Morris George,,,,George
Savage George Buggis , Ipswich,,,George
Treadwell James,,,,James
Hole Robert , Westdown Devon,,,Robert
Burridge Joseph , St Nicholas Deptford,tailor,,Joseph
Court Daniel,,,,Daniel
Hogg Thomas ,,,,Thomas
D'Abbadie Daniel,,,,Daniel
Smith Nathaniel ,,Capt of St Giles Cripplegate London,m 4 Nov 1764 Hester dau of George Dance= architect,Nathaniel
Tod John,,,,John
Priddie Robert James ,,,,Robert
Robertson Philip ,Scotland,,,Philip
Harvey James,,,,James
BayFley Robert,,,,Robert
Lister James,,,,James
Poyntz Stephen , Tormarton Glos,rector,,Stephen
Bechinoe James,,,,James
Jenks Edward,,,,Edward
Turnbull John,,,,John
Davidson Robert , Aberdeen,tenant in Culaloes,,Robert
Bradshaw James,,,,James
Bond Essex Henry , Greenwich= Essex,mariner,,Essex
Fenn John , Comhill London,,,John
Blackmore Philip ,England,,,Philip
Attwood Joseph,,,,Joseph
Page _?_,,,,_?_
Nisbet or Nesbitt James,,,,or
Featherston Thomas,,,,Thomas
Aston John,,,,John
Craufurd Quintin , St Olave Hart St London,,,Quintin
Hinson John,,,,John
King Richard,,,,Richard
Hodson William,,,,William
Stannard Lawrence,,,,Lawrence
Griffith or Griffiths John Pugh , Llanaber Merioneth,,,or
Andrews Henry,,,,Henry
Hill Henry , Tarrant Hinton Dorset,,,Henry
Foy James , Dublin,,,James
Field Richard,,,,Richard
Glenholme Henry,,,,Henry
Hudson William,,,,William
Young David , Ironchurch Midlothian,surgeon,,David
Kent Bailey,,,,Bailey
Grimes Gilbert,,,,Gilbert
Deverge Edward,,,,Edward
Mackenzie James,,,,James
Storey Robert,,,,Robert
Bradley William,,,,William
Thomson Thomas,,,,Thomas
Baker Slade,,,,Slade
Ambrose Charles Henry,,,,Charles
Leigh Edward , Thorley Hants,,,Edward
Ragland George Miller,,,,George
Case A N,,,,A
Perkins George,,,,George
Prynn Nicholas,,,,Nicholas
Ravens Thomas,,,,Thomas
Buchanan Archibald , Campsie Stirlingshire,,,Archibald
Harrison Henry,,,,Henry
Small James ,,,,James
Lovelace Francis ,,,,Francis
Watson John,,,,John
Masterman Robert ,England,,,Robert
Veal Robert ,,,,Robert
Pashley John,,,,John
Fisher John ,,,,John
Byron Lawrence,,,,Lawrence
Woolcott John ,,,,John
Mason Charles,,,,Charles
Ellis Henry ,,,,Henry
Ramsay Robert,,,,Robert
Stewart George,,,,George
Wise Abraham,,,,Abraham
Bennett Henry,,,,Henry
Lindsey Patrick,,,,Patrick
Anthony Berry ,,,,Berry
Reynolds John Smeaton , St Andrew's Holbora London,,,John
Gregson William,,,,William
Casey Thomas,,,,Thomas
James Charles,,,,Charles
Foley Henry , St Magnus the Martyr London,,,Henry
Donaldson James ,Scotland,town clerk,,James
Chalmers John,,,,John
Ryder Dudley,,,,Dudley
Thornborough Thomas,,,,Thomas
Madison George,,,,George
Lewis Owen,,,,Owen
Sherriff George ,,,,George
Parris Thomas,,,,Thomas
Baxter Francis ,,,,Francis
Buchanan Thomas , Perthshire,,,Thomas
Salkeld Joseph,,,,Joseph
Kinnell Thomas,,,,Thomas
Aldcraft Peter ,,,,Peter
Richardson James,,,,James
Marston Robert,,,,Robert
Martin Edmund,,,,Edmund
Bristow Thomas,,,,Thomas
Allwright Richard,,,,Richard
Dorman Thomas ,,,,Thomas
Misenor Robert ,,,,Robert
Taylor James , Hedon Yorks,,,James
Marsh Thomas,,,,Thomas
Waring William,,,,William
Stanley Richard,,,,Richard
Lloyd George,,,,George
Burnett James Burnett , Fordoun Kincardine,,m 21 Feb 1833 Bridgewater= Somerset= June Ash Carter,James
Watkins William ,,,,William
Irvine George,,,,George
Spence William , Linlithgow,shoemaker,,William
Flint Thomas ,,,,Thomas
Merrilees David ,Scotland,,,David
Harroll Gordon,,,,Gordon
Matthews Jonathan ,,,,Jonathan
Haydock John,,,,John
Jones Digory,,,,Digory
Thornhill George,,,,George
Hoare Thomas,,,,Thomas
Branscomb Bartholomew,,,,Bartholomew
Williams Walter ,,,,Walter
Burgess John , St Katherine_by_the_Tower London,,,John
Christopher John,,,,John
Warden Charles,,,,Charles
Magrath John , Dublin,,,John
Parker John Henry Harding , Passage co Cork,,,John
Neilson Robert,,,,Robert
Clarke Alexander,,,,Alexander
Macaulay Alexander , Inveraray Argyll,,,Alexander
Forder Richard,,,,Richard
Kidd John ,Scotland,,,John
Adderton Henry ,,,,Henry
Rowe Francis,,,,Francis
Carr Robert Gibbons , St Leonard's Hythe Kent,,,Robert
Maitland Maitland,,,,Maitland
Kellwick William Cotton,,,,William
Crichton James , Dalkeith Midlothian,merchant,,James
Robertson Alexander,,,,Alexander
Wrangham James,,,,James
Prosser William ,,,,William
Oliver William,,,,William
Bartholomew Thomas,,,,Thomas
Sanders Charles,,,,Charles
Ellis John,,,,John
Baird James ,,,,James
Butterfield John Farington,,,,John
Joyce John ,England,,,John
Cruikshank John ,,,,John
Boswood Thomas,,,,Thomas
Lightfoot Stephen,,,,Stephen
Couston Leyton ,,,,Leyton
Edwards Richard ,England,,,Richard
Gamble T B,,,,T
Rogers Michael,,,,Michael
Pyke Thomas,,,,Thomas
Ramage Edward,,,,Edward
Pope Robert ,,,,Robert
Mitchell James,,,,James
Pitman Charles ,,,,Charles
Norton A,,,,A
Hodges Thomas,,,,Thomas
Halhed John,,,,John
Wood Charles,,,,Charles
Cranch Joseph,,,,Joseph
Nowell Ancell,,,,Ancell
Couchman Thomas,,,,Thomas
Gregory Henry,,,,Henry
Bruce Charles,,,,Charles
Bridgeman James,,,,James
Godfrey Edward ,,,,Edward
Adamson William , Dalgetty Fifeshire,merchant,,William
Simpson John , Auldearn Nairn,,,John
Trist T B,,,,T
Cleveland Breholt ,England,,,Breholt
Pinckney William , Broad Chalk Wilts,,,William
Micklefield Richard,,,,Richard
Viles John B,,,,John
Kendal John,,,,John
Venner Samuel James , St Martin_in_the_Fields London,,,Samuel
Tugwell William,,,,William
Yerworth Thomas,,,,Thomas
Boykett Thomas Gibbon,,,,Thomas
Lake John,,,,John
Lewin Gregory Moffat , Eltham Kent,,,Gregory
Wilmer George,,,,George
Bennett John, St Margaret Moses London,,,John
Newall Edward,,,,Edward
Gibbs Thomas,,,,Thomas
Willyams William ,,,,William
Marchbanks Robert,,,,Robert
Cookworthy Philip,,,,Philip
Hopkins William Lewis,,,,William
Leroux Mitford George,,,,Mitford
Remmington Samuel , Horsley Surrey,,,Samuel
Christie James,,,,James
Stewart Thomas , Chresenham Norfolk,,,Thomas
Towns John,,,,John
Walter William,,,,William
Bayiis Philip , England,,,Philip
Tivell Richard,,,,Richard
Brock John,,,,John
Forrester Bernard ,,,,Bernard
Tizard Edward,,,,Edward
Shrive James,,,,James
Nesbitt Andrew,,,,Andrew
Mitchell Sir Charles ,Scotland,,,Sir
Warwick William,,,,William
Martin James , Trowbridge Wilts,,,James
Talput John ,,,,John
Potter Thomas,,,,Thomas
Warrand Thomas,,,,Thomas
Dunbar B,,,,B
Harle Robert,,,,Robert
Constable John,,,,John
Packer John,,,,John
Garstin James,,,,James
Tolme Charles ,England,,,Charles
Slaughter Thomas ,,,,Thomas
Goodlad Richard,,,,Richard
Longdill Benjamin Proud ,,,,Benjamin
Harvey Alfred Augustus,,,,Alfred
Washington Thomas,,,,Thomas
Duckett James,,,,James
Pascoe John , Fowey Cornwall,,,John
Boyd Matthew,,,,Matthew
Sheridan Alfred , St Andrew's pa Dublin,,,Alfred
Thorns William,,,,William
Gamblin James,,,,James
Cotton Joseph ,,,,Joseph
Yates Thomas,,,,Thomas
Groves C,,,,C
Adamson James,,,,James
Baker Henry George ,,,,Henry
Burges Henry , St Mark's pa Dublin,rev,,Henry
Hillman John,,,,John
Rainford Robert ,,,,Robert
Hicks Roger,,,,Roger
Trumball Andrew,,,,Andrew
Ogle Ralph,,,,Ralph
Reding John Cameron,,,,John
Butler Thomas , Hemingborough Yorks,,,Thomas
Little Archibald ,,,,Archibald
Williams William Money,,,,William
Morgan John ,,,,John
Shearer Jonathan William,,,,Jonathan
Blair David,,,,David
Coulson John,,,,John
Livingstone William ,,,,William
Horn Frederick,,,,Frederick
Finnie William Hamilton , St Marylebone London,,,William
Gaymer James H,,,,James
Fowler John,,,,John
Bowles Phillip,,,,Phillip
Storm John,,,,John
Campbell John,,,,John
Balkners Alexander,,,,Alexander
Gisborne John , Wootton Hall Ellaston Staffs,,,John
Jamison John,,,,John
Merriman William Henry , Newbury Berks,,,William
Hayes Samuel ,,,,Samuel
Bennett Isaac,,,,Isaac
Kellett Robert,,,,Robert
Bullemian Reynard,,,,Reynard
Stride Thomas,,,,Thomas
Johnstone Charles Kinnaird , Alva Clackmannan,,,Charles
Bayley James ,,,,James
Shoebrook John,,,,John
Hoskins Bennet ,,,,Bennet
Browne Leonard,,,,Leonard
Hamilton Gualther,,,,Gualther
Vivian Joseph ,,,,Joseph
Fisher John,,,,John
Dormer Thomas , Lambourn Berks,,,Thomas
Lyall Haseldene,,,,Haseldene
Barns James,,,,James
Avery Theophilus,,,,Theophilus
Brookes John,,,,John
Griffiths James,,,,James
Paulett Herbert,,,,Herbert
Cassells Alexander, Leith Midlothian,,,Alexander
Lumley Thomas,,,,Thomas
Wardlaw Ralph,,,,Ralph
Stent Joseph,,,,Joseph
Morris Edward,,,,Edward
Barrett John,,,,John
Phillips Robert,,,,Robert
Johnson Thomas,,,,Thomas
Oswald Richard , Newtown Edinburgh,esq,,Richard
Arnold Fleet ,,,,Fleet
Weir Dickey,,,,Dickey
Hart Thomas,,,,Thomas
Torin Robert , Throgmorton St London,,,Robert
Gascoyne Sabine ,,,,Sabine
Moffat James,,,,James
Cross James,,,,James
Gunning Peter , Frindsbury Kent,,,Peter
Atkinson Thomas Jasper , Dulwich Surrey,,,Thomas
MacDonald A,,,,A
Pidgeon Meadows ,,,,Meadows
Dalton Thomas ,,,,Thomas
Shaw Edward,,,,Edward
Milne RB,,,,RB
Haggarty Daniel,,,,Daniel
Glassford John,,,,John
Jacobs Rolston,,,,Rolston
Waring John Arthur , Barnes Surrey,,,John
Milroy John,,,,John
Cotton John,,,,John
McLean Augustus,,,,Augustus
Cruft William,,,,William
Temple John ,England,,,John
Tucker William ,,,,William
Lanyon John Hamilton Mortimer , Eastbourne,,,John
Upton Clotworthy , St Marylebone London,,,Clotworthy
Hill Joseph , St Andrew's Fife,minister,,Joseph
Phillips James,,,,James
Rogers Mansel , Middleton Sussex,,,Mansel
Grosse Robert,,,,Robert
Rawlings Thomas,,,,Thomas
Monk Thomas,,,,Thomas
Rhodes Joseph,,,,Joseph
Robertson William ,England,esq,,William
Cockburn James,,,,James
Thorpe Jonathan ,,,,Jonathan
Herbert Philip , England,,,Philip
Napier J,,,,J
Atkinson Robert ,,,,Robert
Roxburgh Florence ,,,,Florence
Bamwell Silvester,,,,Silvester
Moffat William , Rochester Kent,,,William
Cason Thomas,,,,Thomas
Cox Joseph , Trevethin Monmouth,,,Joseph
Ryland Charles ,Scotland,,,Charles
Colson Benary,,,,Benary
Tweedy George Henry,,,,George
Payler W W ,,,,W
Kennal William , Bardsea Lanes,,,William
Scott Joseph,,,,Joseph
Wadham Thomas,,,,Thomas
Dover James,,,,James
Bathern Thomas,,,,Thomas
Haddock James,,,,James
Etty Charles Burton , Selborne Hants,,,Charles
Cunningham Edward,,,,Edward
English John ,,,,John
Plumb Edward,,,,Edward
Cruikshank William,in Scotland,,,William
Read Christopher R,,,,Christopher
Gosnall Benjamin,,,,Benjamin
Harrison William,,,,William
Larkins Thomas,,,,Thomas
Farmer Richard,,,,Richard
Elgen John,,,,John
Duffin Robert,,,,Robert
Aickman Andrew,,,,Andrew
Lapton James,,,,James
Hollamby William,,,,William
Farley William,,,,William
Halcyon John,,,,John
Weddell John,,,,John
Davies William Andrew,,,,William
McWhinnie Andrew,,,,Andrew
Frost Nathaniel ,,,,Nathaniel
Murrell Abraham,,,,Abraham
Perry Jacob,,,,Jacob
Buck or Bucke Charles , Holbrook Suffolk,surgeon,,or
Dalgas John ,,,,John
Ormsby Peter H,,,,Peter
Hamilton John , Coilsfield Ayrshire,,,John
Smallwood James,,,,James
Sirn David,,,,David
Raitt George,,,,George
Birtles Edward,,,,Edward
Bent Nathaniel ,St Marylebone London,,,Nathaniel
Wauchope William,,,,William
Webster Alexander ,Scotland,,,Alexander
Mill or Mills George ,,,,or
Shaw John,,,,John
Taylor Augustine ,,,,Augustine
Hearne James,,,,James
Bedson Harold , St Ann's Manchester,,,Harold
Craven William,,,,William
Cook or Cooke John,,,,or
Cooper George Yeale,,,,George
Simmonds Robert,,,,Robert
Misenor John,,,,John
Townsend John,,,,John
Hyde West,,,,West
Blanket Stephen ,,,,Stephen
Campbell James ,Scotland,,,James
Dickson Thomas,,,,Thomas
Elliott George,,,,George
Glover Robert,,,,Robert
Coppendale Ralph,,,,Ralph
Griffin Andrew,,,,Andrew
Greenhill George,,,,George
Denny George , England,,m 20 Nov 1828 Calcutta= Catherine Helen Todd,George
Allan James , Glasgow,merchant,,James
Morley John,,,,John
Duce Benjamin,,,,Benjamin
Riddell Robert ,Scotland,,,Robert
Fairfull Robert ,England,,,Robert
Evans William,,,,William
Spottiswoode Robert ,Edinburgh,,,Robert
Wall Walter,,,,Walter
Ansell William,,,,William
Beveridge Henry , Kirkaldy,shipMaster,,Henry
Christopher William ,England,,,William
Clayson Mark , Deal Kent,,,Mark
Starr Thomas Larkins,,,,Thomas
Chisholm Charles ,,,,Charles
Gill Thomas,,,,Thomas
Barnett John , Kirby Stephen Westmorland,,,John
Turing John ,,,,John
Russell Gervase,,,,Gervase
Nicholas Edward,,,,Edward
Broughton Francis,,,,Francis
Marlin George,,,,George
Addison John ,,,,John
Beeker Richard,,,,Richard
Colombine Henry , Christ Church Surrey,,,Henry
Taylor William,,,,William
Gillespie James,,,,James
Vaughan Robert Walter ,,,,Robert
Shettler Robert Brown,,,,Robert
McCarty Charles,,,,Charles
James Anthony,,,,Anthony
Harrington or Harington Thomas Talbot , pa St Edmund's New Sarum Wilts,,,or
Tait Charles,,,,Charles
Bill Thomas,,,,Thomas
Blunt Richard Charles , Croydon Surrey,,,Richard
Smith William ,Ireland,,,William
Schutz Robert,,,,Robert
Roberts Thomas ,Whales,,,Thomas
Adams Joseph Reece ,St George's Bloomsbury London,,,Joseph
MacNamara John,,,,John
Tolme John ,,,,John
Peirson Edward,,,,Edward
Bampton William Wright,England,,,William
Lee Philip,,,,Philip
Launce Thomas,,,,Thomas
Slade William,,,,William
Stoakes Jonas,,,,Jonas
Fell David ,Scotland,,,David
Robinson Isaac ,,,,Isaac
Thornhill Robert,,,,Robert
Stewart Alexander,,,,Alexander
Cartwright Ralph,,,,Ralph
Johnston Joseph,,,,Joseph
Falconer Peter,,,,Peter
James Robert,,,,Robert
Parry John ,England,,,John
Coytmore Rowland,,,,Rowland
Fleming Robert,,,,Robert
Jobling Robert , Bywell St Peter Northumberland 3rd,esq,,Robert
Little Nathaniel,,,,Nathaniel
Moull Robert,,,,Robert
Robinson Samuel,,,,Samuel
Robinson Charles ,England,,,Charles
Cumming or Cuming George ,,,m Susanna Dun,or
Malassey Edward,,,,Edward
Acklam Thomas,,,,Thomas
Darwell Stephen,,,,Stephen
March William , St Clement Danes London,,,William
Connell Arthur ,,,,Arthur
Lock Henry,,,,Henry
Burges Samuel,,,,Samuel
Whitaker William ,,,,William
Thomas Nathaniel,,,,Nathaniel
