name, birth_loc, pocc, marriage, lastname
Kieraander Charles,,,,Charles
Stevenson Robert,,,,Robert
Kelso George,,,,George
Pope William Pan,,,,William
Lynch William , St Mary Key Ipswich,,,William
Basse William,,,,William
Wynne Peter , St Pancras London,gent,,Peter
Rawson Christopher , Halifax,merchant,,Christopher
Emmerson George,,,,George
Skinner Thomas James , West Thurrock Essex,farmer,,Thomas
Wilson John Major ,,,,John
Palmer John ,,,,John
Barnes John Henry,,,,John
Scrimshire Carill,,,,Carill
Harris Thomas,,,,Thomas
Wishart Ninian,,,,Ninian
Spice John,,,,John
Dean Robert,,,,Robert
Durham John ,,,,John
Norris T D,,,,T
George Joseph,,,,Joseph
Somerville Richard,,,,Richard
Gibbs George ,,,,George
Harvey John,,,,John
Forrest or Forest Alexander,,,,or
Helling William,,,,William
Young James,,,,James
Lawes Richard ,,,,Richard
Jones Jenkin,,,,Jenkin
Richardson Jeremy,,,,Jeremy
Hodges Joseph,,,,Joseph
Collis Henry ,England,,,Henry
Whitfield Francis,,,,Francis
Styles or Stiles John , St Mary's Dover,,,or
Maitland Patrick,,,,Patrick
Wyburd Edward , St Marylebone London,,,Edward
Brown or Browne Thomas,,,,or
Welch George,,,,George
Dundas Ralph ,,,,Ralph
Moore Carter ,,,,Carter
Butler John,,,,John
Peyton William,,,,William
Bowring John Godwin,,,,John
Whitmarsh William,,,,William
Lloyd Thomas ,,,,Thomas
Smith James Hopkins,,,,James
Phillips John ,,,,John
Cunningham Andrew,,,,Andrew
Aplin Thomas ,,,,Thomas
Addison Thomas,Saxthorpe Norfolk,rev,,Thomas
Mendham Joseph,,,,Joseph
Jarratt Thomas Drake ,England,,,Thomas
Ives William,,,,William
Tyndall Onesiphorus,,,,Onesiphorus
Kekewich John ,,,,John
Acland Peregrine Palmer ,Stogursey Somerset,Esq,,Peregrine
Bond William,,,,William
Stewart Francis,,,,Francis
Spens Nathaniel ,Scotland,,,Nathaniel
Arthington Thomas,,,,Thomas
Harding Daniel ,,,,Daniel
Douglas John , Beenham Berks,,,John
Rae David Raitt,,,,David
Eden John,,,,John
Armiger John,,,,John
Manning William , Inveresk Midlothian,,,William
Laird James ,,,,James
Levigne William,,,,William
Copeland Thomas,,,,Thomas
Brent Nathaniel,,,,Nathaniel
Strangeways Henry,,,,Henry
Chalmers James ,,,,James
Ramsay James,,,,James
Powditch William , England,,,William
Gandy Samuel ,England,,,Samuel
Gibson Edward,,,,Edward
Richardson Thomas,,,,Thomas
Bresley WNM,,,,WNM
Portfield James ,,,,James
Trower Henry , Hendon Middx,,,Henry
Newcome John,,,,John
Lee Nicholas,,,,Nicholas
Steward Gabriel ,,,,Gabriel
Headley John,,,,John
Newton Samuel,,,,Samuel
Vaux Jeremiah,,,,Jeremiah
Marshall Samuel,,,,Samuel
Matthews Timothy,,,,Timothy
Beare Herny Martin ,England,,,Herny
Locke John,,,,John
Reynolds Joseph,,,,Joseph
Brian William,,,,William
Rattray John ,,,,John
Ramage Patrick , Kirkliston Edinburgh,,m 12 May 1798 Kirkliston= Elizabeth Heeming,Patrick
Jolly John Keith , Morphie,,,John
Wharton William,,,,William
Sutherland J,,,,J
Kent Isaac,,,,Isaac
Woodruff Henry,,,,Henry
Cramer Henry,,,,Henry
Tyers or Tyes Jonathan,,,,or
Way John ,,,,John
Bickell or Bickley John,,,,or
Dibdin Thomas,,,,Thomas
Sommers John,,,,John
Curson John ,,,,John
Thurston Richard,,,,Richard
Jennison Archibald,,,,Archibald
Montieth William,,,,William
James. Daniel,,,,Daniel
MacGhee John,,,,John
Manning Joseph,,,,Joseph
Sargison James ,England,,,James
