id, name
668,Hasell John
669,Hassey John
670,Hatch John
671,Havard Thomas
672,Haviside Thomas
673,Haviside William
674,Hawes Stephen
675,Hawkey William
676,Hawkins Giles
677,Hawkins William
678,Hay James
679,Hay Robert
680,Hay William
681,Hayes John
682,Hayes Thomas
683,Haynes William
684,Hayter George
685,Hayward John
686,Head James
687,Heath John
688,Heath William
689,Heathorn J L
690,Heathorn William
691,Heaviside Thomas
692,Hedley Thomas
693,Heming George
694,Henderson George
695,Henning Alexander
696,Hepworth Brodie
697,Herbert Philip
698,Hereford John
699,Hicks John
700,Hicks Zachary
701,Hide Jonathan jr.
703,Hide Samuel
704,Hill Charles &Dennis Benjamin
705,Hill John
706,Hillman John
707,Hilton John Woodbridge
708,Hinde Thomas
709,Hindman Josiah
710,Hindman Thomas
711,Hine John
712,Hippon Anthony
713,Hitchings John
714,Hoadley Henry
715,Hoare Daniel Griffiths
716,Hodgson Thomas
717,Hodson Sir Charles
718,Hodson Thomas
719,Hogg Robert
720,Holden Richard
721,Holden Thomas
722,Holford Arthur
723,Holiday George
724,Holman Francis
725,Holman William
726,Holmes Robert
727,Hooke Benjamin
729,Hooke Walter
730,Hooper Charles
731,Hooper George
732,Hope William
733,Hore Matthew
734,Hornblow William
735,Horncastle James
736,Horsburgh James
737,Hosmer Henry
738,Hough Samuel
739,Houghton John
740,Hounsell Richard
741,Hounsell Thomas 
742,Howe Thomas
743,Howes Christopher
744,Hoxton Walter
745,Huddart Joseph
746,Huddart William
747,Hudson Charles
748,Hudson Henry
749,Hudson John
750,Hudson Robert jr
752,Hudson Thomas 
753,Hughes Henry
754,Hughes Philip
755,Hughes Robert
756,Hume Alexander
757,Humphrey Bryant
758,Hunt James
759,Hunt Richard
760,Hunt Thomas
761,Hunt William
762,Hunter Henry
763,Hunter John
764,Hunter William
765,Hurdis James
766,Hurle John
767,Hurst Robert
768,Hutchinson George
769,Hutchinson Henry
770,Hutchinson Norton
771,Hutchinson William
772,Hutt Richard
773,Hutton William Charles
774,Hyde Robert
775,Hyde Samuel
776,Ibister David
777,Inglis Cornelius
778,Innes John
779,Irvine ?
781,Isacke Matthew
782,Isacke Robert M
783,Jackson Abraham
784,Jackson George
785,Jackson J H
786,Jackson James
787,Jackson Jeffrey
788,Jackson Joseph
789,Jago Samuel
790,James Walter
791,Jameson Alexander
792,Jameson James
793,Jeffreys J P
794,Jenifer James
795,Jenkins Benjamin
796,Jenkins Robert
797,Jenkins Thomas
798,Jesson Randle
799,Jobson William
800,Jodrell Philip
801,Johnson ?
802,Johnson Francis
803,Johnson James
804,Johnson John
805,Johnson John Edward
806,Johnson Magnus
807,Johnson Robert
808,Johnson Thomas
809,Johnson Thomas Alexander
810,Johnston John
811,Johnstone Charles K.
812,Jones Benjamin
813,Jones Charles
814,Jones John
815,Jones Thomas
816,Jordan Michael
817,Kay Brook
818,Kay James
819,Keate Samuel
820,Keble Page
821,Keeling William
822,Kellaway James
823,Kelso George
824,Kemeys Reginald
825,Kempt Francis
826,Kempt Rodney
827,Kempthorne John
828,Kendall Harry
829,Kent George
830,Kent Henry
831,Kerr Robert
832,Kesar Charles
833,Kidd Thomas
834,Kilvert Roger
835,Kirby Richard
836,Kirkpatrick John
837,Kirwan Stevens
838,Knox Robert
839,knox william
840,Kymer Christopher
841,Ladd William Henry
842,Lake Samuel
843,Lamb Edwin
844,Lamb James Thomas
845,Lambe John
846,Lambert Thomas
847,Lambert William
848,Lancaster James
849,Landon Samuel
850,Lane John
851,Langworth Thomas
852,Larkins John Pascal
853,Larkins Thomas
854,Larkins William
855,Lascelles Henry
856,Lascelles Peter
857,Lasinby Richard
858,Lauder John
859,Laurence Ambrose
860,Laurie Henry
861,Lawrence John
862,Lawson John
863,Lawson Patrick
864,lay William
865,Laycock Richard
866,Layman William
867,LeBlanc Charles Henry
868,Le Geyt Carteret
869,le Huquet Philip
870,Leader James
872,Ledger Edward
873,Lee James
874,Lee Simon
875,Leech Thomas Watson
876,Leigh Francis William
877,Leigh Henry
878,Leith John
879,LeMesurier Frederick
880,Lennox Charles
881,Lennox John
882,Lesley John
883,Levy John
884,Lewin Gregory Moffat
885,Lewin Richard Jr.
887,Lewis John
888,Lewis Josiah
889,Lewis Samuel
890,Lewis Thomas
891,Ley Thomas
892,Liddell Henry
893,Lindegreen Charles
894,Lindsay Alexander
9087,Phillips Joseph
896,Lindsay George
897,Lindsay the Hon Hugh
898,Lindsay James
899,Lindsay Martin
900,Lindsay Robert
901,Benfield Richard
902,Lindsey edward
903,Lloyd John
904,Loch John
905,Lochner John Christopher
907,Locke John Jr
908,Locke John Jr.
909,Locke Robert
910,Logan John
911,Lorner John
912,Louth Matthew
913,Lowe Benjamin
914,Lowe John
915,Lowis Ninian
916,Luard John
917,Luhorne Nicholas
918,Luke John
919,Lukin George
920,Lushington Thomas
921,Lyde Samuel
922,Lyell Christopher
923,Lyell Robert
924,Lyell Thomas
925,Lymbrey William
926,Lynch William
927,Lynn Thomas
928,Lytton George
929,Mabbot William
930,MacDougall Dugald
931,MacFarlane C. P.
932,Mackeson Thomas
933,Mackintosh John
934,Mackintosh William
935,MacLeod Alexander
936,MacLeod Donald
937,MacLeshin Peter
938,Macnamara John
9131,Pigou Peter 
940,MacNamara William
941,MacTaggart Thomas
942,Madan Frederick
943,Maddox Leonard
944,Madge Thomas
945,Mainwaring Roger
946,Maitland Patrick
947,Maitland Samuel
948,Malim ?
949,Mallack Newton
950,Mallison John
951,Man Eustace
953,Manderson John Rennie
954,Mangles Charles Edward
955,Manly Thomas
956,Manning Edward
957,Manning William
958,Mansell James P.
959,Marjoribanks Campbell
960,Marjoribanks William
961,Marlowe Edward
962,Marquis Thomas
963,Marshall David
964,Marshall John
965,Martin Edward
966,Martin George
967,Martin James
968,Martin John
969,Martin Matthew
970,Martin Samuel
971,Martyr William
972,Betts Luckyn
973,Mash Robert Abbon
974,Mason Andrew Timbrell
975,Mason Benjamin
976,Mason Charles
977,Mason George
978,Massey Charles
979,Massey Edmund
980,Masson james
981,Master William Gordon
982,Matthews George
983,Maw Robert
984,Mawson William
985,Maxwell Arthur 
986,Maxwell William
987,May Robert
988,Mayne Charles Otway
989,Mayne John
990,McCall George
991,McCulloch James
992,McInnes George
993,McIntosh CC
994,McIntosh John
